"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","18","Get file","LMS service","Tue Aug 05 21:27:25 GMT 2025","passed","Tue Aug 05 21:27:25 GMT 2025","Get entity","Files","",""
"","13","Get user me","LMS service","Tue Aug 05 21:27:28 GMT 2025","passed","Tue Aug 05 21:27:28 GMT 2025","Get entity","Users","",""
"","19","Get exercises","LMS service","Tue Aug 05 21:27:24 GMT 2025","passed","Tue Aug 05 21:27:24 GMT 2025","Get entities","Exercises","",""
"","561","Create user","LMS service","Tue Aug 05 21:27:27 GMT 2025","passed","Tue Aug 05 21:27:27 GMT 2025","Create entity","Users","",""
"","268","Create file with empty directory","LMS service","Tue Aug 05 21:27:26 GMT 2025","passed","Tue Aug 05 21:27:26 GMT 2025","Validate entity","Files","",""
"","293","Create user","LMS service","Tue Aug 05 21:27:27 GMT 2025","passed","Tue Aug 05 21:27:27 GMT 2025","Create entity","Users","",""
"","258","Create file with empty filename","LMS service","Tue Aug 05 21:27:24 GMT 2025","passed","Tue Aug 05 21:27:25 GMT 2025","Validate entity","Files","",""
"","32","Create course","LMS service","Tue Aug 05 21:27:20 GMT 2025","passed","Tue Aug 05 21:27:20 GMT 2025","Create entity","Courses","",""
"","262","Get file with incorrect file id","LMS service","Tue Aug 05 21:27:26 GMT 2025","passed","Tue Aug 05 21:27:27 GMT 2025","Validate entity","Files","",""
"","22","Delete exercise","LMS service","Tue Aug 05 21:27:22 GMT 2025","passed","Tue Aug 05 21:27:22 GMT 2025","Delete entity","Exercises","",""
"","22","Get exercise","LMS service","Tue Aug 05 21:27:22 GMT 2025","passed","Tue Aug 05 21:27:22 GMT 2025","Get entity","Exercises","",""
"","555","Login with correct email and password","LMS service","Tue Aug 05 21:27:18 GMT 2025","passed","Tue Aug 05 21:27:19 GMT 2025","Login","Authentication","",""
"","33","Create exercise","LMS service","Tue Aug 05 21:27:21 GMT 2025","passed","Tue Aug 05 21:27:21 GMT 2025","Create entity","Exercises","",""
"","296","Delete file","LMS service","Tue Aug 05 21:27:26 GMT 2025","passed","Tue Aug 05 21:27:26 GMT 2025","Delete entity","Files","",""
"","552","Create user","LMS service","Tue Aug 05 21:27:26 GMT 2025","passed","Tue Aug 05 21:27:27 GMT 2025","Create entity","Users","",""
"","32","Update course","LMS service","Tue Aug 05 21:27:19 GMT 2025","passed","Tue Aug 05 21:27:19 GMT 2025","Update entity","Courses","",""
"","23","Create file","LMS service","Tue Aug 05 21:27:24 GMT 2025","passed","Tue Aug 05 21:27:24 GMT 2025","Create entity","Files","",""
"","18","Get courses","LMS service","Tue Aug 05 21:27:20 GMT 2025","passed","Tue Aug 05 21:27:20 GMT 2025","Get entities","Courses","",""
"","23","Update exercise","LMS service","Tue Aug 05 21:27:21 GMT 2025","passed","Tue Aug 05 21:27:21 GMT 2025","Update entity","Exercises","",""
