"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","23","Create exercise","LMS service","Tue Aug 05 21:01:38 GMT 2025","passed","Tue Aug 05 21:01:38 GMT 2025","Create entity","Exercises","",""
"","12","Get user me","LMS service","Tue Aug 05 21:01:45 GMT 2025","passed","Tue Aug 05 21:01:45 GMT 2025","Get entity","Users","",""
"","21","Delete file","LMS service","Tue Aug 05 21:01:43 GMT 2025","passed","Tue Aug 05 21:01:43 GMT 2025","Delete entity","Files","",""
"","302","Update course","LMS service","Tue Aug 05 21:01:36 GMT 2025","passed","Tue Aug 05 21:01:36 GMT 2025","Update entity","Courses","",""
"","287","Create user","LMS service","Tue Aug 05 21:01:44 GMT 2025","passed","Tue Aug 05 21:01:44 GMT 2025","Create entity","Users","",""
"","257","Create file with empty directory","LMS service","Tue Aug 05 21:01:42 GMT 2025","passed","Tue Aug 05 21:01:43 GMT 2025","Validate entity","Files","",""
"","17","Get file","LMS service","Tue Aug 05 21:01:41 GMT 2025","passed","Tue Aug 05 21:01:42 GMT 2025","Get entity","Files","",""
"","25","Update exercise","LMS service","Tue Aug 05 21:01:39 GMT 2025","passed","Tue Aug 05 21:01:39 GMT 2025","Update entity","Exercises","",""
"","262","Create file","LMS service","Tue Aug 05 21:01:41 GMT 2025","passed","Tue Aug 05 21:01:41 GMT 2025","Create entity","Files","",""
"","17","Get exercises","LMS service","Tue Aug 05 21:01:40 GMT 2025","passed","Tue Aug 05 21:01:40 GMT 2025","Get entities","Exercises","",""
"","555","Create user","LMS service","Tue Aug 05 21:01:44 GMT 2025","passed","Tue Aug 05 21:01:44 GMT 2025","Create entity","Users","",""
"","554","Login with correct email and password","LMS service","Tue Aug 05 21:01:35 GMT 2025","passed","Tue Aug 05 21:01:36 GMT 2025","Login","Authentication","",""
"","259","Create file with empty filename","LMS service","Tue Aug 05 21:01:42 GMT 2025","passed","Tue Aug 05 21:01:42 GMT 2025","Validate entity","Files","",""
"","536","Create user","LMS service","Tue Aug 05 21:01:43 GMT 2025","passed","Tue Aug 05 21:01:44 GMT 2025","Create entity","Users","",""
"","291","Delete exercise","LMS service","Tue Aug 05 21:01:40 GMT 2025","passed","Tue Aug 05 21:01:40 GMT 2025","Delete entity","Exercises","",""
"","290","Get exercise","LMS service","Tue Aug 05 21:01:39 GMT 2025","passed","Tue Aug 05 21:01:39 GMT 2025","Get entity","Exercises","",""
"","258","Get file with incorrect file id","LMS service","Tue Aug 05 21:01:44 GMT 2025","passed","Tue Aug 05 21:01:44 GMT 2025","Validate entity","Files","",""
"","302","Create course","LMS service","Tue Aug 05 21:01:37 GMT 2025","passed","Tue Aug 05 21:01:38 GMT 2025","Create entity","Courses","",""
"","13","Get courses","LMS service","Tue Aug 05 21:01:37 GMT 2025","passed","Tue Aug 05 21:01:37 GMT 2025","Get entities","Courses","",""
