"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","547","Create user","LMS service","Tue Aug 05 21:08:36 GMT 2025","passed","Tue Aug 05 21:08:37 GMT 2025","Create entity","Users","",""
"","32","Create course","LMS service","Tue Aug 05 21:08:30 GMT 2025","passed","Tue Aug 05 21:08:30 GMT 2025","Create entity","Courses","",""
"","556","Login with correct email and password","LMS service","Tue Aug 05 21:08:28 GMT 2025","passed","Tue Aug 05 21:08:29 GMT 2025","Login","Authentication","",""
"","13","Get user me","LMS service","Tue Aug 05 21:08:38 GMT 2025","passed","Tue Aug 05 21:08:38 GMT 2025","Get entity","Users","",""
"","294","Delete file","LMS service","Tue Aug 05 21:08:36 GMT 2025","passed","Tue Aug 05 21:08:36 GMT 2025","Delete entity","Files","",""
"","290","Create user","LMS service","Tue Aug 05 21:08:37 GMT 2025","passed","Tue Aug 05 21:08:37 GMT 2025","Create entity","Users","",""
"","259","Create file with empty directory","LMS service","Tue Aug 05 21:08:36 GMT 2025","passed","Tue Aug 05 21:08:36 GMT 2025","Validate entity","Files","",""
"","17","Create file","LMS service","Tue Aug 05 21:08:34 GMT 2025","passed","Tue Aug 05 21:08:34 GMT 2025","Create entity","Files","",""
"","20","Delete exercise","LMS service","Tue Aug 05 21:08:33 GMT 2025","passed","Tue Aug 05 21:08:33 GMT 2025","Delete entity","Exercises","",""
"","562","Create user","LMS service","Tue Aug 05 21:08:37 GMT 2025","passed","Tue Aug 05 21:08:37 GMT 2025","Create entity","Users","",""
"","288","Get exercise","LMS service","Tue Aug 05 21:08:32 GMT 2025","passed","Tue Aug 05 21:08:32 GMT 2025","Get entity","Exercises","",""
"","312","Update course","LMS service","Tue Aug 05 21:08:29 GMT 2025","passed","Tue Aug 05 21:08:29 GMT 2025","Update entity","Courses","",""
"","292","Get exercises","LMS service","Tue Aug 05 21:08:33 GMT 2025","passed","Tue Aug 05 21:08:34 GMT 2025","Get entities","Exercises","",""
"","14","Get file","LMS service","Tue Aug 05 21:08:35 GMT 2025","passed","Tue Aug 05 21:08:35 GMT 2025","Get entity","Files","",""
"","26","Create exercise","LMS service","Tue Aug 05 21:08:31 GMT 2025","passed","Tue Aug 05 21:08:31 GMT 2025","Create entity","Exercises","",""
"","18","Get courses","LMS service","Tue Aug 05 21:08:30 GMT 2025","passed","Tue Aug 05 21:08:30 GMT 2025","Get entities","Courses","",""
"","292","Update exercise","LMS service","Tue Aug 05 21:08:31 GMT 2025","passed","Tue Aug 05 21:08:32 GMT 2025","Update entity","Exercises","",""
"","266","Get file with incorrect file id","LMS service","Tue Aug 05 21:08:37 GMT 2025","passed","Tue Aug 05 21:08:37 GMT 2025","Validate entity","Files","",""
"","19","Create file with empty filename","LMS service","Tue Aug 05 21:08:35 GMT 2025","passed","Tue Aug 05 21:08:35 GMT 2025","Validate entity","Files","",""
