"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","288","Delete exercise","LMS service","Tue Aug 05 19:52:00 GMT 2025","passed","Tue Aug 05 19:52:01 GMT 2025","Delete entity","Exercises","",""
"","261","Create file with empty directory","LMS service","Tue Aug 05 19:52:03 GMT 2025","passed","Tue Aug 05 19:52:03 GMT 2025","Validate entity","Files","",""
"","290","Update exercise","LMS service","Tue Aug 05 19:51:59 GMT 2025","passed","Tue Aug 05 19:51:59 GMT 2025","Update entity","Exercises","",""
"","266","Create file with empty filename","LMS service","Tue Aug 05 19:52:02 GMT 2025","passed","Tue Aug 05 19:52:03 GMT 2025","Validate entity","Files","",""
"","252","Get file with incorrect file id","LMS service","Tue Aug 05 19:52:04 GMT 2025","passed","Tue Aug 05 19:52:05 GMT 2025","Validate entity","Files","",""
"","16","Get exercises","LMS service","Tue Aug 05 19:52:01 GMT 2025","passed","Tue Aug 05 19:52:01 GMT 2025","Get entities","Exercises","",""
"","562","Create user","LMS service","Tue Aug 05 19:52:05 GMT 2025","passed","Tue Aug 05 19:52:05 GMT 2025","Create entity","Users","",""
"","518","Create user","LMS service","Tue Aug 05 19:52:04 GMT 2025","passed","Tue Aug 05 19:52:05 GMT 2025","Create entity","Users","",""
"","33","Delete file","LMS service","Tue Aug 05 19:52:04 GMT 2025","passed","Tue Aug 05 19:52:04 GMT 2025","Delete entity","Files","",""
"","19","Get exercise","LMS service","Tue Aug 05 19:52:00 GMT 2025","passed","Tue Aug 05 19:52:00 GMT 2025","Get entity","Exercises","",""
"","14","Get file","LMS service","Tue Aug 05 19:52:02 GMT 2025","passed","Tue Aug 05 19:52:02 GMT 2025","Get entity","Files","",""
"","287","Login with correct email and password","LMS service","Tue Aug 05 19:51:56 GMT 2025","passed","Tue Aug 05 19:51:56 GMT 2025","Login","Authentication","",""
"","560","Create user","LMS service","Tue Aug 05 19:52:05 GMT 2025","passed","Tue Aug 05 19:52:05 GMT 2025","Create entity","Users","",""
"","51","Create course","LMS service","Tue Aug 05 19:51:58 GMT 2025","passed","Tue Aug 05 19:51:58 GMT 2025","Create entity","Courses","",""
"","268","Create file","LMS service","Tue Aug 05 19:52:01 GMT 2025","passed","Tue Aug 05 19:52:02 GMT 2025","Create entity","Files","",""
"","285","Get courses","LMS service","Tue Aug 05 19:51:57 GMT 2025","passed","Tue Aug 05 19:51:57 GMT 2025","Get entities","Courses","",""
"","306","Update course","LMS service","Tue Aug 05 19:51:57 GMT 2025","passed","Tue Aug 05 19:51:57 GMT 2025","Update entity","Courses","",""
"","30","Create exercise","LMS service","Tue Aug 05 19:51:59 GMT 2025","passed","Tue Aug 05 19:51:59 GMT 2025","Create entity","Exercises","",""
"","13","Get user me","LMS service","Tue Aug 05 19:52:06 GMT 2025","passed","Tue Aug 05 19:52:06 GMT 2025","Get entity","Users","",""
