"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","25","Create exercise","LMS service","Tue Aug 05 21:32:24 GMT 2025","passed","Tue Aug 05 21:32:24 GMT 2025","Create entity","Exercises","",""
"","267","Create file with empty filename","LMS service","Tue Aug 05 21:32:28 GMT 2025","passed","Tue Aug 05 21:32:28 GMT 2025","Validate entity","Files","",""
"","21","Get exercises","LMS service","Tue Aug 05 21:32:26 GMT 2025","passed","Tue Aug 05 21:32:26 GMT 2025","Get entities","Exercises","",""
"","16","Get exercise","LMS service","Tue Aug 05 21:32:25 GMT 2025","passed","Tue Aug 05 21:32:25 GMT 2025","Get entity","Exercises","",""
"","291","Update exercise","LMS service","Tue Aug 05 21:32:24 GMT 2025","passed","Tue Aug 05 21:32:25 GMT 2025","Update entity","Exercises","",""
"","29","Create course","LMS service","Tue Aug 05 21:32:23 GMT 2025","passed","Tue Aug 05 21:32:23 GMT 2025","Create entity","Courses","",""
"","555","Login with correct email and password","LMS service","Tue Aug 05 21:32:21 GMT 2025","passed","Tue Aug 05 21:32:22 GMT 2025","Login","Authentication","",""
"","262","Get file with incorrect file id","LMS service","Tue Aug 05 21:32:29 GMT 2025","passed","Tue Aug 05 21:32:30 GMT 2025","Validate entity","Files","",""
"","534","Create user","LMS service","Tue Aug 05 21:32:29 GMT 2025","passed","Tue Aug 05 21:32:30 GMT 2025","Create entity","Users","",""
"","265","Create file with empty directory","LMS service","Tue Aug 05 21:32:28 GMT 2025","passed","Tue Aug 05 21:32:29 GMT 2025","Validate entity","Files","",""
"","290","Delete exercise","LMS service","Tue Aug 05 21:32:26 GMT 2025","passed","Tue Aug 05 21:32:26 GMT 2025","Delete entity","Exercises","",""
"","21","Delete file","LMS service","Tue Aug 05 21:32:29 GMT 2025","passed","Tue Aug 05 21:32:29 GMT 2025","Delete entity","Files","",""
"","265","Create file","LMS service","Tue Aug 05 21:32:27 GMT 2025","passed","Tue Aug 05 21:32:27 GMT 2025","Create entity","Files","",""
"","35","Update course","LMS service","Tue Aug 05 21:32:22 GMT 2025","passed","Tue Aug 05 21:32:22 GMT 2025","Update entity","Courses","",""
"","17","Get courses","LMS service","Tue Aug 05 21:32:23 GMT 2025","passed","Tue Aug 05 21:32:23 GMT 2025","Get entities","Courses","",""
"","15","Get file","LMS service","Tue Aug 05 21:32:27 GMT 2025","passed","Tue Aug 05 21:32:27 GMT 2025","Get entity","Files","",""
"","560","Create user","LMS service","Tue Aug 05 21:32:30 GMT 2025","passed","Tue Aug 05 21:32:30 GMT 2025","Create entity","Users","",""
"","12","Get user me","LMS service","Tue Aug 05 21:32:31 GMT 2025","passed","Tue Aug 05 21:32:31 GMT 2025","Get entity","Users","",""
"","290","Create user","LMS service","Tue Aug 05 21:32:30 GMT 2025","passed","Tue Aug 05 21:32:30 GMT 2025","Create entity","Users","",""
